MZ	Intensity	Resolution	S/N
496.95006	236385	358244	0.8	
496.95617	400889	342305	2.7	
496.95875	248410	528492	0.9	
496.97221	229739	554135	0.7	
496.97652	379036	304144	2.5	
496.99111	307165	261676	1.6	
497.00403	325198	196366	1.8	
497.01165	282879	396444	1.3	
497.01576	300072	203551	1.5	
497.02091	259712	351873	1.1	
497.02348	231840	529725	0.7	
497.02994	252049	264518	1.0	
497.03247	227185	486241	0.7	
497.04062	337010	290365	2.0	
497.06999	311589	266551	1.7	
497.07485	495350	136890	3.8	
497.08288	275383	390563	1.2	
497.09700	321368	267878	1.8	
497.10032	371976	241041	2.4	
497.11326	361242	226535	2.2	
497.11779	304346	177382	1.6	
497.12729	536299	257782	4.3	
497.13906	332140	359034	1.9	
497.14171	266989	367815	1.1	
497.14506	322053	159027	1.8	
497.14909	322973	181290	1.8	
497.15840	362558	163586	2.3	
497.16133	361127	119070	2.2	
497.16850	338127	197049	2.0	
497.17476	250416	386031	0.9	
497.18206	247513	289481	0.9	
497.19302	327794	211954	1.9	
497.19552	380834	228768	2.5	
497.20206	310147	312079	1.6	
497.20536	242419	375225	0.8	
497.20922	247915	303064	0.9	
497.21310	375860	205511	2.4	
497.21543	387284	171223	2.5	
497.21784	414036	210086	2.9	
497.22247	348141	172824	2.1	
497.22816	234677	421069	0.8	
497.23328	256502	350314	1.0	
497.23528	275286	198181	1.2	
497.24719	535847	166222	4.3	
497.25381	248584	437086	0.9	
497.26563	271641	439852	1.2	
497.26926	226634	438980	0.7	
497.27246	228794	477178	0.7	
497.27910	407419	181099	2.8	
497.29153	264092	319384	1.1	
497.29653	247820	263067	0.9	
497.30142	224909	460080	0.6	
497.30866	325566	361057	1.8	
497.32167	349807	302569	2.1	
497.32715	234152	273886	0.8	
497.32914	259080	232064	1.0	
497.33512	275024	303490	1.2	
497.33881	274049	372867	1.2	
497.34308	273985	360316	1.2	
497.35274	262338	485117	1.1	
497.35748	417667	172127	2.9	
497.36028	264243	413387	1.1	
497.36442	352835	267996	2.1	
497.36641	235428	401963	0.8	
497.37186	387428	286867	2.5	
497.37599	279349	294097	1.3	
497.38031	304005	317489	1.6	
497.38930	341862	369110	2.0	
497.39470	272263	241768	1.2	
497.39936	365575	273611	2.3	
497.40528	409664	154219	2.8	
497.40958	410984	104573	2.8	
497.41993	240857	494804	0.8	
497.42731	441018	224235	3.2	
497.43331	307523	211361	1.6	
497.44183	237659	230054	0.8	
497.44499	320204	214692	1.8	
497.45725	317549	288749	1.7	
497.46513	300462	267210	1.5	
497.48412	296624	377725	1.5	
497.48712	403568	280650	2.7	
497.49791	385233	250915	2.5	
497.50510	512594	288542	4.0	
497.51016	352914	342211	2.1	
497.51288	337683	343771	2.0	
497.52000	238067	418893	0.8	
497.52253	380340	202121	2.5	
497.52560	336052	178734	1.9	
497.52935	333588	345689	1.9	
497.54351	347726	180283	2.1	
497.55031	267991	291600	1.1	
497.55319	309271	336266	1.6	
497.56009	271832	235482	1.2	
497.56616	227576	478315	0.7	
497.57267	324473	355820	1.8	
497.58293	256458	413783	1.0	
497.59296	310587	385475	1.6	
497.60261	323468	244026	1.8	
497.60602	260284	190340	1.1	
497.61470	249341	257510	0.9	
497.62550	291190	267060	1.4	
497.63464	362431	297446	2.3	
497.63783	360256	306596	2.2	
497.64163	537504	195918	4.3	
497.65820	227778	552846	0.7	
497.66334	430914	270275	3.1	
497.66616	252202	352503	1.0	
497.66927	484755	189082	3.7	
497.67406	339827	194733	2.0	
497.68334	471012	151597	3.5	
497.69249	386101	245900	2.5	
497.70310	258310	305395	1.0	
